"count","day"
3254,"2016-07-07"
2674,"2016-08-07"
3203,"2016-09-07"
4356,"2016-10-07"
2673,"2016-11-07"
2309,"2016-12-07"
1856,"2016-13-07"
2352,"2016-14-07"
2440,"2016-15-07"
2774,"2016-16-07"
3192,"2016-17-07"
3684,"2016-18-07"
4061,"2016-19-07"
3216,"2016-20-07"
2633,"2016-21-07"
2536,"2016-22-07"
1472,"2016-23-07"
3967,"2016-24-07"
2935,"2016-25-07"
2963,"2016-26-07"
3186,"2016-27-07"
1156,"2016-28-07"
1498,"2016-29-07"
2378,"2016-30-07"
1239,"2016-31-07"
2722,"2016-01-08"
674,"2016-02-08"
682,"2016-03-08"
2117,"2016-04-08"
1853,"2016-05-08"
2378,"2016-06-08"
5122,"2016-07-08"
2289,"2016-08-08"
1910,"2016-09-08"
1369,"2016-10-08"
1402,"2016-11-08"
1621,"2016-12-08"
3427,"2016-13-08"
4033,"2016-14-08"
3321,"2016-15-08"
4082,"2016-16-08"
4301,"2016-17-08"
3711,"2016-18-08"
3029,"2016-19-08"
2299,"2016-20-08"
1163,"2016-21-08"
1842,"2016-22-08"
4258,"2016-23-08"
4180,"2016-24-08"
3968,"2016-25-08"
3888,"2016-26-08"
2518,"2016-27-08"
3310,"2016-28-08"
2354,"2016-29-08"
3661,"2016-30-08"
3616,"2016-31-08"
3410,"2016-01-09"
3419,"2016-02-09"
3038,"2016-03-09"
1352,"2016-04-09"
2289,"2016-05-09"
3840,"2016-06-09"
3933,"2016-07-09"
4110,"2016-08-09"
3199,"2016-09-09"
3087,"2016-10-09"
3171,"2016-11-09"
3532,"2016-12-09"
3799,"2016-13-09"
3840,"2016-14-09"
3345,"2016-15-09"
2385,"2016-16-09"
1650,"2016-17-09"
1895,"2016-18-09"
2200,"2016-19-09"
2308,"2016-20-09"
3040,"2016-21-09"
2793,"2016-22-09"
2330,"2016-23-09"
2943,"2016-24-09"
3881,"2016-25-09"
2567,"2016-26-09"
3011,"2016-27-09"
2684,"2016-28-09"
2071,"2016-29-09"
1945,"2016-30-09"
1021,"2016-01-10"
943,"2016-02-10"
1361,"2016-03-10"
2121,"2016-04-10"
2321,"2016-05-10"
1775,"2016-06-10"
1652,"2016-07-10"
1291,"2016-08-10"
1617,"2016-09-10"
1433,"2016-10-10"
1621,"2016-11-10"
1206,"2016-12-10"
1568,"2016-13-10"
1439,"2016-14-10"
995,"2016-15-10"
2709,"2016-16-10"
1577,"2016-17-10"
1546,"2016-18-10"
905,"2016-19-10"
705,"2016-20-10"
989,"2016-21-10"
624,"2016-22-10"
1001,"2016-23-10"
848,"2016-24-10"
1302,"2016-25-10"
1678,"2016-26-10"
1753,"2016-27-10"
1516,"2016-28-10"
1331,"2016-29-10"
2085,"2016-30-10"
1892,"2016-31-10"
1842,"2016-01-11"
1363,"2016-02-11"
1627,"2016-03-11"
1450,"2016-04-11"
652,"2016-05-11"
784,"2016-06-11"
702,"2016-07-11"
1231,"2016-08-11"
833,"2016-09-11"
770,"2016-10-11"
930,"2016-11-11"
702,"2016-12-11"
575,"2016-13-11"
1237,"2016-14-11"
682,"2016-15-11"
600,"2016-16-11"
785,"2016-17-11"
803,"2016-18-11"
632,"2016-19-11"
516,"2016-20-11"
1034,"2016-21-11"
1434,"2016-22-11"
1395,"2016-23-11"
1612,"2016-24-11"
1516,"2016-25-11"
731,"2016-26-11"
615,"2016-27-11"
1299,"2016-28-11"
1316,"2016-29-11"
1204,"2016-30-11"
1095,"2016-01-12"
914,"2016-02-12"
621,"2016-03-12"
638,"2016-04-12"
1187,"2016-05-12"
1247,"2016-06-12"
1141,"2016-07-12"
1247,"2016-08-12"
1179,"2016-09-12"
785,"2016-10-12"
604,"2016-11-12"
1313,"2016-12-12"
1015,"2016-13-12"
1215,"2016-14-12"
1285,"2016-15-12"
1154,"2016-16-12"
630,"2016-17-12"
554,"2016-18-12"
1208,"2016-19-12"
1267,"2016-20-12"
1163,"2016-21-12"
492,"2016-22-12"
757,"2016-23-12"
357,"2016-24-12"
282,"2016-25-12"
296,"2016-26-12"
837,"2016-27-12"
707,"2016-28-12"
894,"2016-29-12"
763,"2016-30-12"
500,"2016-31-12"
361,"2017-01-01"
357,"2017-02-01"
638,"2017-03-01"
489,"2017-04-01"
829,"2017-05-01"
622,"2017-06-01"
234,"2017-07-01"
227,"2017-08-01"
912,"2017-09-01"
796,"2017-10-01"
785,"2017-11-01"
986,"2017-12-01"
500,"2017-13-01"
376,"2017-14-01"
415,"2017-15-01"
1034,"2017-16-01"
951,"2017-17-01"
930,"2017-18-01"
961,"2017-19-01"
857,"2017-20-01"
601,"2017-21-01"
612,"2017-22-01"
835,"2017-23-01"
677,"2017-24-01"
950,"2017-25-01"
1017,"2017-26-01"
920,"2017-27-01"
660,"2017-28-01"
654,"2017-29-01"
654,"2017-30-01"
1016,"2017-31-01"
1129,"2017-01-02"
1361,"2017-02-02"
919,"2017-03-02"
488,"2017-04-02"
1024,"2017-05-02"
1283,"2017-06-02"
827,"2017-07-02"
1079,"2017-08-02"
1135,"2017-09-02"
946,"2017-10-02"
278,"2017-11-02"
944,"2017-12-02"
1419,"2017-13-02"
